,GUIA,PLACA,COLOR,TIPO,MARCA
1,616033,GDY515,BLANCO,CAMION - ESTACAS,JAC - HFC
1,616034,GDY515,BLANCO,CAMION - ESTACAS,JAC - HFC
1,616035,GDY515,BLANCO,CAMION - ESTACAS,JAC - HFC
1,616092,GDY515,BLANCO,CAMION - ESTACAS,JAC - HFC
1,621974,ODT858,Collor: BLANCO,VOLQUETA - PORTACONTENEDOR,INTERNATIONAL - 4300
1,621975,ODT858,Collor: BLANCO,VOLQUETA - PORTACONTENEDOR,INTERNATIONAL - 4300
1,626710,JYO863,BLANCO,CAMION - ESTACAS,CHEVROLET - NHR
1,626711,JYO863,BLANCO,CAMION - ESTACAS,CHEVROLET - NHR
1,627026,ODT858,Collor: BLANCO,VOLQUETA - PORTACONTENEDOR,INTERNATIONAL - 4300
1,627027,ODT858,Collor: BLANCO,VOLQUETA - PORTACONTENEDOR,INTERNATIONAL - 4300
